Publication: https://doi.org/10.1016/j.marchem.2017.02.003,,,,,,,,
,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1]
Fenice 2011,S01_02,B,2011-10-27 08:11,10.34138889,43.37972222,64,64,83.62202381
Fenice 2011,S01_02,B,2011-10-27 08:11,10.34138889,43.37972222,64,50,58.41364329
Fenice 2011,S01_02,B,2011-10-27 08:11,10.34138889,43.37972222,64,40,50.625
Fenice 2011,S01_02,B,2011-10-27 08:11,10.34138889,43.37972222,64,30,40.29268293
Fenice 2011,S01_02,B,2011-10-27 08:11,10.34138889,43.37972222,64,20,44.31325301
Fenice 2011,S01_02,B,2011-10-27 08:11,10.34138889,43.37972222,64,10,38.69186047
Fenice 2011,S01_02,B,2011-10-27 08:11,10.34138889,43.37972222,64,2,56.45983232
Fenice 2011,S01_04,B,2011-10-27 18:27,10.34138889,43.37972222,65,65,55
Fenice 2011,S01_04,B,2011-10-27 18:27,10.34138889,43.37972222,65,50,25
Fenice 2011,S01_04,B,2011-10-27 18:27,10.34138889,43.37972222,65,41,30
Fenice 2011,S01_04,B,2011-10-27 18:27,10.34138889,43.37972222,65,30,30
Fenice 2011,S01_04,B,2011-10-27 18:27,10.34138889,43.37972222,65,20,28
Fenice 2011,S01_04,B,2011-10-27 18:27,10.34138889,43.37972222,65,10,36
Fenice 2011,S01_04,B,2011-10-27 18:27,10.34138889,43.37972222,65,4,22
Fenice 2011,S01_04,B,2011-10-27 18:27,10.34138889,43.37972222,65,2,24
Fenice 2011,S01_05,B,2011-10-28 07:14,10.34027778,43.38,64.098,64,21.00106975
Fenice 2011,S01_05,B,2011-10-28 07:14,10.34027778,43.38,64.098,50,19.2036464
Fenice 2011,S01_05,B,2011-10-28 07:14,10.34027778,43.38,64.098,40,24.90576069
Fenice 2011,S01_05,B,2011-10-28 07:14,10.34027778,43.38,64.098,30,17.96371198
Fenice 2011,S01_05,B,2011-10-28 07:14,10.34027778,43.38,64.098,20,17.22519238
Fenice 2011,S01_05,B,2011-10-28 07:14,10.34027778,43.38,64.098,10,18.42964396
Fenice 2011,S01_05,B,2011-10-28 07:14,10.34027778,43.38,64.098,4,16.70194584
Fenice 2011,S01_05,B,2011-10-28 07:14,10.34027778,43.38,64.098,2,11.50267972
Fenice 2011,S01_06,B,2011-10-28 18:20,10.24222222,43.61833333,14.87,15,22
Fenice 2011,S01_06,B,2011-10-28 18:20,10.24222222,43.61833333,14.87,10,12.59869048
Fenice 2011,S01_06,B,2011-10-28 18:20,10.24222222,43.61833333,14.87,4,19.39627371
Fenice 2011,S01_06,B,2011-10-28 18:20,10.24222222,43.61833333,14.87,2,16
Fenice 2011,S01_07,B,2011-10-28 20:15,10.24194444,43.61833333,5.011,4,24
Fenice 2011,S01_07,B,2011-10-28 20:15,10.24194444,43.61833333,5.011,2,20
Fenice 2011,S01_08,B,2011-10-29 07:12,10.24166667,43.61916667,14.107,14,21.14186992
Fenice 2011,S01_08,B,2011-10-29 07:12,10.24166667,43.61916667,14.107,10.5,20.20665759
Fenice 2011,S01_08,B,2011-10-29 07:12,10.24166667,43.61916667,14.107,4.5,19.7849895
Fenice 2011,S01_08,B,2011-10-29 07:12,10.24166667,43.61916667,14.107,2.5,19.8915634
Fenice 2011,S01_09,B,2011-10-29 08:34,10.24166667,43.61944444,15.254,14.5,19.33974359
Fenice 2011,S01_09,B,2011-10-29 08:34,10.24166667,43.61944444,15.254,10,18.61138655
Fenice 2011,S01_09,B,2011-10-29 08:34,10.24166667,43.61944444,15.254,3.9,18.82843137
Fenice 2011,S01_09,B,2011-10-29 08:34,10.24166667,43.61944444,15.254,2.2,18.97335317
Fenice 2011,S01_10,B,2011-10-29 11:36,10.24166667,43.61944444,15.589,15.5,20.69620253
Fenice 2011,S01_10,B,2011-10-29 11:36,10.24166667,43.61944444,15.589,10.2,20.38682171
Fenice 2011,S01_10,B,2011-10-29 11:36,10.24166667,43.61944444,15.589,3.9,29.60240964
Fenice 2011,S01_10,B,2011-10-29 11:36,10.24166667,43.61944444,15.589,1.9,23.24206349
Fenice 2011,S01_11,B,2011-10-29 14:48,10.24166667,43.03861111,6.445,4.5,14.52475386
Fenice 2011,S01_11,B,2011-10-29 14:48,10.24166667,43.03861111,6.445,2.2,11.8797856
Fenice 2011,S01_12,B,2011-10-29 18:12,10.24277778,43.03805556,5.799,3.9,20.82377195
Fenice 2011,S01_12,B,2011-10-29 18:12,10.24277778,43.03805556,5.799,1.9,17.95979481
Fenice 2011,S_01_C1,B,2011-10-30 12:25,10.63444444,42.93944444,19.159,19,28.70612288
Fenice 2011,S_01_C1,B,2011-10-30 12:25,10.63444444,42.93944444,19.159,13.8,26.51460117
Fenice 2011,S_01_C1,B,2011-10-30 12:25,10.63444444,42.93944444,19.159,10,30.9245025
Fenice 2011,S_01_C1,B,2011-10-30 12:25,10.63444444,42.93944444,19.159,4,27.74906881
Fenice 2011,S_01_C1,B,2011-10-30 12:25,10.63444444,42.93944444,19.159,1.8,37.13130047
Fenice 2011,S_01_C2,B,2011-10-30 15:36,10.63444444,42.93916667,18.853,18.5,32.71192056
Fenice 2011,S_01_C2,B,2011-10-30 15:36,10.63444444,42.93916667,18.853,15,23.92574229
Fenice 2011,S_01_C2,B,2011-10-30 15:36,10.63444444,42.93916667,18.853,10.2,28.9376741
Fenice 2011,S_01_C2,B,2011-10-30 15:36,10.63444444,42.93916667,18.853,4.2,32.35245452
Fenice 2011,S_01_C2,B,2011-10-30 15:36,10.63444444,42.93916667,18.853,1.7,32.70375639
Fenice 2011,S_01_C3,B,2011-10-30 20:00,10.63416667,42.93861111,20.096,20,30.42699153
Fenice 2011,S_01_C3,B,2011-10-30 20:00,10.63416667,42.93861111,20.096,14,25.54094343
Fenice 2011,S_01_C3,B,2011-10-30 20:00,10.63416667,42.93861111,20.096,10,30.51468718
Fenice 2011,S_01_C3,B,2011-10-30 20:00,10.63416667,42.93861111,20.096,4.5,32.22873088
Fenice 2011,S_01_C3,B,2011-10-30 20:00,10.63416667,42.93861111,20.096,1.9,29.83879084
Fenice 2011,S_01_C4,B,2011-10-31 04:20,10.63333333,42.93805556,20.49,20,29.21826429
Fenice 2011,S_01_C4,B,2011-10-31 04:20,10.63333333,42.93805556,20.49,15,21.81700361
Fenice 2011,S_01_C4,B,2011-10-31 04:20,10.63333333,42.93805556,20.49,10.5,29.95875185
Fenice 2011,S_01_C4,B,2011-10-31 04:20,10.63333333,42.93805556,20.49,4.5,31.41898574
Fenice 2011,S_01_C4,B,2011-10-31 04:20,10.63333333,42.93805556,20.49,2,27.8783781
