Publication: https://doi.org/10.1016/j.marchem.2017.02.003,,,,,,,,
,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1]
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,1500,92
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,1000,57
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,500,81
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,250,81
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,75,51
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,40,58
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,30,31
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,10,19
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,4,21
Fenice 2011,S_02_b,B,2011-10-31 20:09,10.8975,41.33388889,1512.485,2,18
Fenice 2011,S_02_01,B,2011-10-31 08:24,12.12583333,39.8175,3537.8,35,29.16732281
Fenice 2011,S_02_01,B,2011-10-31 08:24,12.12583333,39.8175,3537.8,20,26.99907254
Fenice 2011,S_02_01,B,2011-10-31 08:24,12.12583333,39.8175,3537.8,10,26.05661625
Fenice 2011,S_02_01,B,2011-10-31 08:24,12.12583333,39.8175,3537.8,4,24.69403061
Fenice 2011,S_02_01,B,2011-10-31 08:24,12.12583333,39.8175,3537.8,2,25.89720448
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,3500,106
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,2000,86
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,1000,73
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,400,79
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,200,79
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,80,49
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,45,24
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,35,25
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,20,24
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,10,23
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,4,20
Fenice 2011,S_02_03,B,2011-11-01 13:31,12.12611111,39.81777778,3537.85,2,20
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,600,104
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,300,102
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,170,101
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,130,94
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,85,77
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,60,55
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,30,25
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,20,23
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,10,23
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,4,25
Fenice 2011,S_05_01,B,2011-11-04 18:07,15.20166667,38.82277778,628.709,2,24
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,600,97
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,300,96
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,170,92
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,130,83
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,85,70
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,60,49
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,30,20
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,20,19
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,10,19
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,4,17
Fenice 2011,S_05_05,B,2011-11-05 12:28,15.20194444,38.82388889,632.022,2,22
Fenice 2011,S_06_01,B,2011-11-06 12:22,14.94111111,38.46,51.726,50,20
Fenice 2011,S_06_01,B,2011-11-06 12:22,14.94111111,38.46,51.726,40,21
Fenice 2011,S_06_01,B,2011-11-06 12:22,14.94111111,38.46,51.726,30,20
Fenice 2011,S_06_01,B,2011-11-06 12:22,14.94111111,38.46,51.726,20,20
Fenice 2011,S_06_01,B,2011-11-06 12:22,14.94111111,38.46,51.726,10,22
Fenice 2011,S_06_01,B,2011-11-06 12:22,14.94111111,38.46,51.726,4,23
Fenice 2011,S_06_01,B,2011-11-06 12:22,14.94111111,38.46,51.726,2,27
Fenice 2011,S_06_02,B,2011-11-07 07:37,14.93277778,38.46083333,33.805,36,14
Fenice 2011,S_06_02,B,2011-11-07 07:37,14.93277778,38.46083333,33.805,20,15
Fenice 2011,S_06_02,B,2011-11-07 07:37,14.93277778,38.46083333,33.805,10,26
Fenice 2011,S_06_02,B,2011-11-07 07:37,14.93277778,38.46083333,33.805,7.5,27
Fenice 2011,S_06_02,B,2011-11-07 07:37,14.93277778,38.46083333,33.805,4,27
Fenice 2011,S_06_02,B,2011-11-07 07:37,14.93277778,38.46083333,33.805,2,27
