Publication: https://www.sciencedirect.com/science/article/pii/S0304420317300725?via%3Dihub,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1],HgTot [ng L-1],MeHg [pg L-1],Temperature [?C],Salinity [psu],pot.Temperature [?C],Sigma,Oxygen [ml/l],OxygSat [proz],Transmission [proz],Fluorometer [V]
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,80,54.92142857,,,-1.8393,34.0621,-1.8408,1027.4194,11.04,129.7,95.8,0.146
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,70,41.35764706,,,-1.8444,34.0615,-1.8457,1027.4191,11.06,129.9,95.83,0.152
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,60,28.35,,,-1.8424,34.062,-1.8435,1027.4194,11.04,129.8,95.83,0.16
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,50,26.67073171,,,-1.8488,34.0626,-1.8497,1027.4201,11.06,129.9,95.82,0.142
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,40,28.22142857,,,-1.8515,34.0629,-1.8523,1027.4204,11.06,130,95.82,0.158
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,30,26.2255814,,,-1.8519,34.063,-1.8525,1027.4205,11.09,130.3,95.82,0.16
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,20,28.755,,,-1.8533,34.0637,-1.8537,1027.4211,11.07,130,95.77,0.161
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,10,26.53953488,,,-1.853,34.0637,-1.8532,1027.421,11.05,129.8,95.8,0.16
Antarctica 2013,487-2,B,2012-06-17 22:22,-0.055833333,-61.96611111,5372.2,2.5,26.86829268,,,-1.8492,34.063,-1.8493,1027.4204,11.07,130,95.45,0.16
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,5266.8,121.3243902,,,-0.3801,34.6465,-0.7934,1027.8586,7.78,95.5,96.37,0.07
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,5240,121.6192771,,,-0.3834,34.6465,-0.7935,1027.8586,7.88,96.7,96.37,0.07
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,5218,121.6444444,,,-0.3862,34.6465,-0.7935,1027.8586,7.76,95.3,96.38,0.075
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,5200,123.15,,,-0.3889,34.6471,-0.7939,1027.859,7.72,94.7,96.39,0.071
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,5180,119.8071429,,,-0.3912,34.6469,-0.7938,1027.8589,7.73,94.9,96.38,0.072
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,4000,124.8585366,,,-0.4036,34.6524,-0.6756,1027.8583,7.63,93.6,96.55,0.069
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,2970,114.1807229,,,-0.2885,34.6587,-0.467,1027.854,7.37,90.7,96.56,0.07
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,2000,123.6272727,,,-0.1365,34.6649,-0.2421,1027.8482,7.04,87,96.57,0.069
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,1000,137.655,,,0.1986,34.6791,0.152,1027.839,6.37,79.4,96.5,0.069
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,500,159.8357143,,,0.4375,34.6869,0.4155,1027.8303,5.98,75.1,96.48,0.069
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,300,154.8225,,,0.556,34.6849,0.543,1027.8211,6.05,76.2,96.44,0.069
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,200,150.5277108,,,0.6898,34.6752,0.6811,1027.8049,6.11,77.1,96.39,0.069
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,150,147.51,,,0.5578,34.6379,0.5515,1027.7828,6.21,78.2,96.3,0.069
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,100,114.7670886,,,-0.8962,34.3193,-0.899,1027.5978,8.91,107.7,96.18,0.082
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,90,70.17906977,,,-1.6282,34.0966,-1.6301,1027.4419,10.87,128.5,96.08,0.099
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,80,35.27560976,,,-1.8449,34.0444,-1.8464,1027.4052,11.06,129.9,96.04,0.099
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,70,,,,-1.8469,34.0439,-1.8482,1027.4049,11.05,129.8,96.04,0.119
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,60,29.29285714,,,-1.8475,34.0437,-1.8486,1027.4047,11.06,129.9,96.05,0.1
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,50,29.1375,,,-1.8476,34.0438,-1.8485,1027.4048,11.02,129.5,96.04,0.099
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,40,29.14177215,,,-1.847,34.0438,-1.8478,1027.4047,11.08,130.1,96.02,0.099
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,30,27.04337349,,,-1.8506,34.0448,-1.8512,1027.4057,11.07,130,96.02,0.099
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,20,27.84444444,,,-1.851,34.0451,-1.8514,1027.4059,11.05,129.8,96.02,0.099
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,10,27.75903614,,,-1.8519,34.0455,-1.8521,1027.4062,11.07,130,96.02,0.099
Antarctica 2013,488-2,B,2012-06-18 11:19,0.008888889,-62.96527778,5319.5,2.3,21.32307692,,,-1.8485,34.0446,-1.8486,1027.4054,11.07,130.1,95.94,0.099
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,3666,121.5724138,0.44,8.885225235,-0.2441,34.6566,-0.4875,1027.8533,7.41,91.3,96.47,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,3640,118.9694118,0.32,9.336698785,-0.2394,34.6569,-0.4804,1027.8532,7.41,91.4,96.5,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,3620,135.8222222,0.44,9.713670812,-0.233,34.6572,-0.4722,1027.853,7.42,91.5,96.51,0.07
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,3600,122.5465116,0.25,9.476148914,-0.2256,34.6575,-0.4632,1027.8528,7.39,91.1,96.51,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,3580,117.544186,0.55,8.53434608,-0.2218,34.6577,-0.4575,1027.8528,7.39,91.1,96.52,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,3000,121.8292683,0.23,8.952065665,-0.1504,34.6617,-0.3347,1027.8502,7.22,89.1,96.53,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,2000,120.0512195,0.22,8.556902825,0.0586,34.6718,-0.0501,1027.8439,6.86,85.2,96.53,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,1000,143.8405063,0.4,7.599740045,0.4937,34.691,0.4447,1027.8319,6.35,79.8,96.5,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,750,134.5662651,0.59,6.745626476,0.6368,34.6967,0.6009,1027.8271,6.32,79.7,96.48,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,500,141.1156627,0.31,7.858345388,0.8267,34.6999,0.8031,1027.817,6.23,78.9,96.44,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,300,137.304878,0.24,12.12946105,1.0556,34.6992,1.0414,1027.8009,6.1,77.7,96.31,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,200,143.4,0.44,19.97175135,1.1294,34.6898,1.12,1027.788,5.99,76.6,96.3,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,150,140.9082353,0.35,20.6131043,1.1147,34.6743,1.1077,1027.7764,5.98,76.4,96.24,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,100,143.5928571,0.29,7.820229416,0.635,34.6155,0.6308,1027.7598,6.55,82.6,96.21,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,90,98.7075,0.24,6.942850922,-1.7378,34.3868,-1.7397,1027.6809,9.76,115.3,96.11,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,80,67.52142857,0.18,8.125905304,-1.7772,34.3842,-1.7788,1027.6798,9.79,115.5,96.1,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,70,66.9375,0.22,7.438522735,-1.7864,34.3822,-1.7878,1027.6784,9.82,115.8,96.1,0.084
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,60,73.08,0.3,7.732388927,-1.8027,34.3825,-1.8039,1027.6791,9.85,116.1,96.1,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,50,67.03291139,0.14,6.29968458,-1.8033,34.3824,-1.8043,1027.6791,9.85,116.1,96.09,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,40,66.40941176,1.09,9.783645616,-1.7992,34.3821,-1.8,1027.6787,9.85,116.1,96.1,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,30,67.8,0.43,9.197419854,-1.8043,34.3829,-1.8049,1027.6794,9.82,115.7,96.08,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,20,67.26428571,0.23,9.517245875,-1.801,34.3818,-1.8014,1027.6785,9.82,115.8,96.08,0.085
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,10,66.09512195,0.23,8.242663768,-1.8118,34.3844,-1.812,1027.6809,9.81,115.6,96.07,0.069
Antarctica 2013,490-1,B,2012-06-20 04:30,-0.009444444,-64.98472222,3727.5,1.7,49.61538462,0.18,4.241517617,-1.8121,34.3841,-1.8122,1027.6806,9.84,115.9,96.07,0.081
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,4423,117.8888889,,,-0.3305,34.6519,-0.6492,1027.8568,7.63,93.8,96.43,0.077
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,4390,131.67,,,-0.3235,34.6525,-0.6389,1027.8568,7.62,93.7,96.46,0.087
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,4370,120.4875,,,-0.3229,34.6525,-0.6361,1027.8567,7.61,93.6,96.46,0.086
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,4350,119.2771084,,,-0.314,34.653,-0.6254,1027.8566,7.6,93.5,96.48,0.094
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,4330,,,,-0.2955,34.6538,-0.6053,1027.8563,7.58,93.3,96.49,0.073
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,4000,117.5929412,,,-0.2572,34.6552,-0.5336,1027.8542,7.54,92.9,96.53,0.097
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,3000,114.7555556,,,-0.1609,34.6613,-0.345,1027.8503,7.28,89.9,96.56,0.085
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,2000,117.4725,,,0.0699,34.6718,-0.039,1027.8434,6.84,85,96.56,0.09
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,1000,126.2541176,,,0.4931,34.69,0.4441,1027.8311,6.36,79.9,96.5,0.095
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,500,150.0666667,,,0.8583,34.7016,0.8345,1027.8164,6.28,79.7,96.46,0.083
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,300,130.9829268,,,1.0297,34.6975,1.0155,1027.8012,6.15,78.4,96.4,0.082
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,200,143.5670886,,,1.1328,34.6882,1.1233,1027.7865,6.07,77.6,96.35,0.07
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,150,131.2941176,,,1.0527,34.6707,1.0458,1027.7776,6.06,77.2,96.28,0.085
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,100,127.89,,,0.159,34.5553,0.1552,1027.739,7.18,89.3,96.23,0.07
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,90,115.5686747,,,-0.9135,34.432,-0.916,1027.6898,8.79,106.2,96.22,0.071
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,80,102.06,,,-1.5263,34.3748,-1.5281,1027.6649,9.68,115,96.2,0.074
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,70,62.15421687,,,-1.7937,34.3508,-1.7951,1027.6531,9.92,116.9,96.19,0.083
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,60,61.2,,,-1.8014,34.3504,-1.8026,1027.653,9.92,116.9,96.19,0.069
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,50,61.13333333,,,-1.8024,34.3502,-1.8034,1027.6528,9.93,117.1,96.19,0.069
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,40,62.59736842,,,-1.8053,34.3502,-1.8061,1027.6529,9.95,117.3,96.18,0.096
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,30,59.4,,,-1.804,34.3504,-1.8046,1027.653,9.92,117,96.18,0.085
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,20,61.35555556,,,-1.8066,34.3498,-1.807,1027.6526,9.94,117.1,96.17,0.069
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,10,60.15,,,-1.8074,34.35,-1.8076,1027.6528,9.91,116.8,96.09,0.091
Antarctica 2013,493-1,B,2012-06-21 13:36,0.051944444,-66.46888889,4494.2,3,70.93421053,,,-1.8138,34.3504,-1.8139,1027.6532,8.78,103.5,96.13,0.069
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,4620,149.1975,,,-0.3531,34.6502,-0.6927,1027.8573,7.64,93.8,96.3,0.1
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,4590,127.7785714,,,-0.3509,34.6505,-0.6872,1027.8573,7.64,93.8,96.38,0.082
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,4570,133.1566265,,,-0.3267,34.6516,-0.6617,1027.8571,7.62,93.7,96.47,0.095
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,4550,132.5223529,,,-0.3085,34.6524,-0.6418,1027.8568,7.6,93.5,96.48,0.081
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,4530,133.2209302,,,-0.297,34.6528,-0.6286,1027.8565,7.59,93.4,96.49,0.096
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,4000,124.7487805,,,-0.2482,34.6556,-0.5249,1027.8542,7.51,92.5,96.53,0.097
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,3000,117.5142857,,,-0.1645,34.6609,-0.3486,1027.8502,7.3,90.2,96.56,0.097
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,2000,122.9204819,,,0.0644,34.6713,-0.0444,1027.8433,6.87,85.3,96.56,0.099
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,1000,144.0219512,,,0.4718,34.6893,0.423,1027.8318,6.39,80.2,96.51,0.096
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,500,139.5642857,,,0.8424,34.7014,0.8187,1027.8173,6.3,79.9,96.43,0.099
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,300,134.0785714,,,1.0277,34.7007,1.0135,1027.8039,6.15,78.3,96.4,0.096
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,200,142.262069,,,1.0235,34.684,1.0142,1027.7904,6.09,77.6,96.29,0.096
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,150,141.84,,,0.944,34.6652,0.9372,1027.7804,6.13,78,96.24,0.098
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,100,142.7717647,,,0.4656,34.5998,0.4616,1027.7574,6.6,82.9,96.18,0.087
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,90,132.1590361,,,0.1156,34.5592,0.1123,1027.7444,7.07,87.9,96.25,0.098
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,85,81.43953488,,,-0.1094,34.5343,-0.1124,1027.7361,7.39,91.3,96.22,0.089
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,70,77.67857143,,,-1.8179,34.3457,-1.8193,1027.6496,9.86,116.2,96.13,0.093
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,60,72.41204819,,,-1.8082,34.3461,-1.8094,1027.6497,9.89,116.5,96.12,0.089
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,50,62.01219512,,,-1.8209,34.3448,-1.8219,1027.6489,9.88,116.4,96.12,0.095
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,40,53.46428571,,,-1.8219,34.3452,-1.8227,1027.6493,9.9,116.6,96.11,0.135
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,30,87.49830508,,,-1.8221,34.3449,-1.8227,1027.6491,9.88,116.4,96.11,0.099
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,20,59.71111111,,,-1.8215,34.3436,-1.8219,1027.6479,9.86,116.1,96.11,0.098
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,10,60.60705882,,,-1.8227,34.3426,-1.8229,1027.6471,9.86,116.2,96.11,0.097
Antarctica 2013,494-1,B,2012-06-22 16:52,0.095277778,-67.00611111,4672.7,2.5,65.36511628,,,-1.8117,34.3411,-1.8117,1027.6456,9.91,116.8,95.57,0.102
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,3917,122.14,0.81,10.46953973,-0.2582,34.6545,-0.5261,1027.8533,7.47,92,96.26,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,3880,129.7594937,0.92,10.72048107,-0.2441,34.655,-0.5087,1027.8529,7.47,92,96.29,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,3860,126.7373494,0.24,9.564052232,-0.2408,34.6549,-0.5036,1027.8526,7.46,91.9,96.3,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,3840,128.5534884,0.61,12.96512824,-0.2414,34.6551,-0.5021,1027.8527,7.45,91.8,96.3,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,3820,129.0075949,0.55,13.21734031,-0.2378,34.6552,-0.4966,1027.8525,7.47,92.1,96.33,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,2999,139.35,0.74,12.39495589,-0.1769,34.6593,-0.3606,1027.8494,7.33,90.4,96.38,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,2000,129.5790698,0.65,18.26773689,0.0211,34.6677,-0.087,1027.8426,7.01,87,96.38,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,997,136.65,0.24,15.49814799,0.4602,34.6888,0.4116,1027.832,6.42,80.6,96.33,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,750,139.3241379,0.64,11.38480516,0.5854,34.6931,0.5498,1027.8273,6.34,79.8,96.32,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,500,138.3882353,0.18,10.21359986,0.7406,34.6964,0.7173,1027.8196,6.36,80.5,96.3,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,300,135.8240964,0.64,12.1037046,0.8933,34.6955,0.8795,1027.8086,6.27,79.7,96.28,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,200,140.0487805,0.44,36.3928404,0.8961,34.685,0.887,1027.7996,6.26,79.4,96.22,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,150,140.0785714,0.81,21.72601981,0.7493,34.6652,0.7428,1027.7929,6.38,80.7,96.2,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,100,136.5642857,0.25,21.22658121,0.0493,34.5909,0.0456,1027.7735,7.09,88,96.2,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,90,130.3373494,0.46,15.1621614,-0.2252,34.5607,-0.2283,1027.7633,7.41,91.3,96.19,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,80,123.3418605,0.63,15.67126783,-0.4122,34.5426,-0.4148,1027.7577,7.71,94.5,96.17,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,70,110.7341772,0.63,9.07822763,-0.9445,34.4631,-0.9464,1027.7162,8.66,104.5,96.09,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,60,79.97777778,0.67,9.88473101,-1.7551,34.296,-1.7563,1027.6075,9.43,111.2,96,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,50,75.38313253,0.38,9.645581277,-1.7757,34.2923,-1.7767,1027.605,9.48,111.8,95.99,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,40,73.34457831,0.39,10.89709594,-1.7788,34.2918,-1.7796,1027.6047,9.49,111.8,95.98,0.098
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,30,78.36585366,0.36,10.33644465,-1.7808,34.2916,-1.7814,1027.6045,9.48,111.7,95.99,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,20,69.88235294,0.21,7.747109006,-1.7822,34.2913,-1.7826,1027.6043,9.45,111.4,95.99,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,10,74.67804878,0.33,7.779175322,-1.7801,34.2914,-1.7803,1027.6044,9.44,111.3,95.97,0.099
Antarctica 2013,498-1,B,2012-06-30 02:34,-2.053888889,-68.02194444,3982.7,1.7,55.08461538,0.46,8.629158216,-1.7774,34.2916,-1.7775,1027.6045,9.44,111.3,95.88,0.099
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,4733,125.2615385,0.3,19.83894425,-0.4249,34.6469,-0.7747,1027.8581,7.73,94.7,96.09,0.128
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,4700,118.5333333,0.46,21.36860086,-0.4234,34.6473,-0.7696,1027.8582,7.71,94.6,96.15,0.13
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,4680,120.1725,0.11,20.19666931,-0.3724,34.6491,-0.7181,1027.8575,7.66,94.1,96.25,0.121
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,4660,120.9825,0.3,22.60800491,-0.3373,34.6504,-0.6819,1027.857,7.63,93.8,96.27,0.124
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,4640,115.9714286,0.7,18.86316636,-0.3145,34.6514,-0.6576,1027.8567,7.58,93.2,96.3,0.13
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,4300,128.1,0.57,20.69676826,-0.2331,34.6545,-0.5417,1027.854,7.51,92.6,96.35,0.126
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,3000,116.8222222,0.24,21.67803734,-0.153,34.6602,-0.3373,1027.849,7.27,89.8,96.4,0.112
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,2000,124.1307692,0.95,20.79951639,0.0703,34.6712,-0.0386,1027.8429,6.83,84.8,96.08,0.117
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,1000,126.7655172,0.28,21.45052576,0.4714,34.6888,0.4226,1027.8315,6.38,80.1,96.36,0.112
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,500,128.7878049,0.31,20.58561813,0.7591,34.6964,0.7358,1027.8185,6.29,79.5,96.32,0.099
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,300,134.3853659,0.51,23.69049921,0.9057,34.6928,0.8918,1027.8056,6.2,78.7,96.25,0.115
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,200,132.5634146,0.27,15.34226783,0.8541,34.6767,0.8451,1027.7957,6.24,79.1,96.18,0.102
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,150,122.1642857,0.3,15.4940358,0.6968,34.6528,0.6904,1027.7862,6.33,80,96.17,0.099
Antarctica 2013,500-3,B,2012-07-02 16:37,-6.014444444,-68.02527778,4792.5,100,101.6325,0.35,11.28860884,-0.6124,34.4893,-0.6155,1027.7237,7.95,96.8,96.19,0.102
