Publication: https://www.sciencedirect.com/science/article/pii/S0304420317300725?via%3Dihub,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1],HgTot [ng L-1],MeHg [pg L-1],Pres [dbar],Temperature [?C],Salinity [psu],pot.Temperature [?C],Sigma,Oxygen [ml/l],OxygSat [proz],Transmission [proz],Fluorometer [V]
Antarctica 2013,555-2,B,2013-09-01 17:21,-41.07138889,-61.18944444,1995.1,50,97.33170732,0.38,10.21527922,,,,,,,,,
Antarctica 2013,555-2,B,2013-09-01 17:21,-41.07138889,-61.18944444,1995.1,40,106.3097561,0.38,8.914907651,,,,,,,,,
Antarctica 2013,555-2,B,2013-09-01 17:21,-41.07138889,-61.18944444,1995.1,30,85.07142857,0.87,7.576602321,,,,,,,,,
Antarctica 2013,555-2,B,2013-09-01 17:21,-41.07138889,-61.18944444,1995.1,20,69.72857143,0.47,7.576838788,,,,,,,,,
Antarctica 2013,555-2,B,2013-09-01 17:21,-41.07138889,-61.18944444,1995.1,10,68.11463415,0.21,5.196704299,,,,,,,,,
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,3500,86.6925,,,3564,-0.3123,34.6467,-0.5379,1027.8476,4.46,54.8,96.27,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,3000,86.2425,,,3051,-0.3189,34.6485,-0.4992,1027.8472,4.47,55,96.3,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,2500,95.58409091,,,2540,-0.2566,34.6522,-0.3972,1027.8455,4.47,55.1,96.35,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,2000,107.6571429,,,2029,-0.1253,34.6587,-0.231,1027.8426,4.32,53.4,96.35,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,1500,172.1142857,,,1520,0.0724,34.6672,-0.0026,1027.8377,4.31,53.6,96.37,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,1000,113.8390244,,,1012,0.2766,34.6765,0.2295,1027.8326,4.21,52.7,96.36,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,800,112.1142857,,,809,0.3901,34.6804,0.3531,1027.8287,4.24,53.2,96.35,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,600,107.3571429,,,607,0.4993,34.6835,0.4721,1027.8242,4.33,54.5,96.35,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,400,117.9627907,,,404,0.5993,34.6835,0.5816,1027.8176,4.7,59.2,96.33,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,300,142.95,,,303,0.5383,34.672,0.5254,1027.8117,5.02,63.2,96.3,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,250,129.3428571,,,253,0.4541,34.6604,0.4437,1027.8073,5.14,64.5,96.27,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,200,113.4,,,202,0.2533,34.6327,0.2454,1027.7964,5.75,71.8,96.25,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,150,108.4829268,,,152,-0.1937,34.5685,-0.199,1027.7681,6.54,80.6,96.25,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,125,111.4902439,,,126,-0.6902,34.4694,-0.694,1027.7109,7.48,90.9,96.26,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,100,76.76341463,,,101,-1.7713,34.2463,-1.7733,1027.5675,9.1,107.2,96.18,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,80,50.7825,,,81,-1.8469,34.234,-1.8484,1027.5595,9.09,106.9,96.17,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,60,53.76428571,,,61,-1.8473,34.2339,-1.8485,1027.5594,9.56,112.4,96.18,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,40,54.6975,,,40,-1.8493,34.2336,-1.85,1027.5592,9.21,108.3,96.16,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,20,51.19285714,,,20,-1.8514,34.2335,-1.8518,1027.5592,9.23,108.6,95.32,0.069
Antarctica 2013,565-3,B,2013-09-16 16:23,-27.17,-60.71027778,3456.6,10,52.58,,,10,-1.8523,34.23,-1.8525,1027.5563,6.82,80.2,94.99,0.069
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,4000,117.6642857,0.68,8.909396329,3978,-0.3731,34.6443,-0.6361,1027.85,7.73,94.9,96.25,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,3500,126.8325,0.45,7.042500062,3563,-0.3799,34.6467,-0.6036,1027.8505,7.68,94.3,96.32,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,3000,119.4545455,0.31,9.219279946,3051,-0.292,34.6527,-0.473,1027.8494,7.46,91.8,96.35,0.118
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,2500,139.9928571,0.73,91.25484188,2539,-0.1978,34.6564,-0.3395,1027.8461,7.28,89.8,96.36,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,2000,236.2928571,0.88,9.171971152,2029,-0.1011,34.6598,-0.2072,1027.8423,7.11,88,96.35,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,1500,152.9357143,0.64,7.366223003,1520,0.068,34.6666,-0.0069,1027.8375,6.87,85.4,96.35,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,1000,144.627907,0.42,15.9856493,1012,0.298,34.6765,0.2507,1027.8314,6.54,81.8,96.35,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,800,171.2093023,0.48,14.71704466,809,0.3851,34.6785,0.3481,1027.8274,6.55,82,96.34,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,600,143.2714286,0.37,25.20095836,607,0.5113,34.6822,0.484,1027.8225,6.31,79.3,96.32,0.128
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,400,190.98,0.25,8.138955826,404,0.5712,34.6782,0.5536,1027.8151,6.26,78.9,96.28,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,300,61.3255814,0.42,8.268462026,303,0.5539,34.6661,0.541,1027.8061,6.43,80.9,96.25,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,250,87.9804878,0.36,20.11187788,252,0.6445,34.6598,0.6337,1027.7954,6.54,82.5,96.25,0.128
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,200,163.4232558,0.33,8.869916491,202,0.6522,34.6334,0.6436,1027.7735,6.63,83.7,96.22,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,150,150.5930233,0.47,10.19594737,151,-0.1564,34.5262,-0.1617,1027.7321,7.42,91.5,96.19,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,100,136.6928571,1.52,9.984813466,101,-1.8406,34.2936,-1.8426,1027.6078,10.17,119.8,96.21,0.137
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,80,63.52325581,0.21,10.45089358,81,-1.8324,34.2886,-1.834,1027.6035,10.17,119.7,96.18,0.143
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,60,175.2906977,0.52,6.547532157,61,-1.8045,34.2747,-1.8057,1027.5915,10.14,119.4,96.16,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,40,66.105,0.55,3.388613064,40,-1.6846,34.1987,-1.6854,1027.5264,10.14,119.7,96.1,0.13
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,20,66.55714286,0.46,3.826085226,20,-1.8324,34.1103,-1.8328,1027.4585,10.4,122.2,95.97,0.16
Antarctica 2013,566-16,B,2013-09-24 13:26,-26.30138889,-60.78888889,3834.4,10,67.17857143,0.84,4.284727327,10,-1.8441,34.0921,-1.8443,1027.4439,10.41,122.4,95.95,0.16
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,1000,144.9209302,,,1012,1.3753,34.7128,1.3191,1027.7927,6.16,79.2,96.22,0.038
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,700,114.3627907,,,708,1.6853,34.7014,1.646,1027.7597,5.9,76.4,96.19,0.038
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,500,147.34,,,505,1.819,34.659,1.7914,1027.7148,5.66,73.6,96.17,0.038
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,400,125.0571429,,,404,1.8384,34.6244,1.8166,1027.6851,5.6,72.9,96.12,0.038
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,300,248.7272727,,,303,1.7595,34.5538,1.7436,1027.634,5.69,73.9,96.04,0.039
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,200,144.3214286,,,202,0.8231,34.2982,0.8144,1027.493,7.54,95.3,95.99,0.038
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,150,59.10697674,,,151,-0.6927,34.0316,-0.6971,1027.3567,10.23,124,95.72,0.069
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,100,53.1,,,101,-1.1921,33.8885,-1.1946,1027.2594,10.99,131.3,95.04,0.145
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,60,44.07857143,,,61,-1.4531,33.7679,-1.4544,1027.1698,11.14,132,94.34,0.191
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,40,38.49069767,,,40,-1.4524,33.7641,-1.4532,1027.1666,11.15,132.2,94.3,0.109
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,20,32.48571429,,,20,-1.5181,33.741,-1.5185,1027.1498,11.18,132.2,94.47,0.096
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,10,30.80454545,,,10,-1.5581,33.7144,-1.5583,1027.1293,11.17,132,94.49,0.038
Antarctica 2013,589-1,B,2013-10-09 11:40,0.029166667,-55.48777778,3600.8,3,175.4571429,,,5,-1.5553,33.7118,-1.5554,1027.1271,11.19,132.2,94.44,0.016
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,1000,131.3142857,,,1012,1.3859,34.7116,1.3296,1027.791,6.15,79.1,96.23,0.043
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,900,114.2162791,,,910,1.5025,34.7128,1.4518,1027.7832,6.08,78.5,96.23,0.042
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,800,115.6186047,,,809,1.5562,34.7042,1.5115,1027.772,6,77.5,96.22,0.045
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,600,136.8,,,606,1.7108,34.6787,1.6776,1027.7392,5.78,75,96.2,0.05
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,500,114.4636364,,,505,1.7983,34.6533,1.7707,1027.7117,5.64,73.3,96.17,0.049
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,400,152.6487805,,,404,1.7949,34.622,1.7732,1027.6865,5.63,73.2,96.12,0.045
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,300,120.6,,,303,1.6611,34.5416,1.6455,1027.6315,5.82,75.4,96.05,0.04
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,200,106.1372093,,,202,1.2199,34.4095,1.2105,1027.5565,6.73,86,96.02,0.039
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,100,40.87674419,,,101,-1.1836,33.9228,-1.1861,1027.2869,10.99,131.3,95.27,0.149
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,60,36.55227273,,,61,-1.4773,33.8352,-1.4786,1027.2251,11.26,133.4,94.23,0.195
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,40,27.75,,,40,-1.4899,33.8321,-1.4907,1027.223,11.26,133.4,94,0.181
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,10,27.92195122,,,10,-1.4933,33.8133,-1.4935,1027.2078,11.28,133.5,94.26,0.069
Antarctica 2013,590-1,B,2013-10-09 15:35,-0.003611111,-55.00277778,1669.7,3,26.2255814,,,3,-1.4933,33.7942,-1.4934,1027.1922,11.29,133.7,94.32,0.061
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,1000,129.9642857,,,1012,1.1708,34.7051,1.1163,1027.8006,6.22,79.6,96.17,0.069
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,900,129,,,910,1.3009,34.7065,1.2517,1027.7924,6.15,78.9,96.2,0.069
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,700,141.4255814,,,708,1.5129,34.7031,1.4746,1027.7738,6,77.5,96.18,0.069
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,500,125.02,,,505,1.6978,34.6675,1.6706,1027.7307,5.75,74.6,96.13,0.069
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,400,195.4928571,,,404,1.712,34.6247,1.6906,1027.6949,5.66,73.4,96.08,0.069
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,300,150.8931818,,,303,1.6154,34.5586,1.5999,1027.6486,5.83,75.3,96.02,0.069
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,200,112.7302326,,,202,0.8822,34.3266,0.8734,1027.5121,7.39,93.6,95.92,0.069
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,125,35.65227273,,,126,-0.446,33.9057,-0.4499,1027.2442,10.87,132.5,94.7,0.211
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,100,28.485,,,101,-0.4869,33.8916,-0.49,1027.2345,11.05,134.5,94.29,0.284
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,80,25.52,,,81,-0.3909,33.8886,-0.3934,1027.2278,11.07,135.1,94.29,0.246
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,40,21.25227273,,,40,0.0806,33.8569,0.0792,1027.1794,10.88,134.4,94.02,0.221
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,10,21.52,,,10,0.0815,33.8574,0.0812,1027.1797,10.89,134.6,93.99,0.221
Antarctica 2013,592-1,B,2013-10-10 04:20,0.008888889,-53.00555556,2463.5,6,26.65714286,,,6,0.0812,33.8576,0.081,1027.1798,10.86,134.2,93.97,0.24
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,1000,144.0658537,,,1012,1.4123,34.7148,1.3558,1027.7917,6.13,78.9,96.2,0.069
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,900,127.9928571,,,910,1.5071,34.7145,1.4564,1027.7843,6.06,78.2,96.19,0.063
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,700,130.1232558,,,707,1.6765,34.7012,1.6374,1027.7603,5.86,75.9,96.17,0.066
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,600,135.75,,,606,1.731,34.6801,1.6977,1027.7388,5.71,74.1,96.11,0.069
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,500,159.1744186,,,505,1.7699,34.6574,1.7425,1027.7172,5.59,72.6,96.11,0.065
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,400,161.4731707,,,404,1.7883,34.6118,1.7667,1027.6788,5.52,71.7,96.02,0.067
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,300,161.6023256,,,303,1.6722,34.5299,1.6566,1027.6214,5.75,74.4,95.98,0.069
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,200,128.0357143,,,202,1.1843,34.2941,1.175,1027.4662,7.31,93.3,95.91,0.066
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,150,49.35,,,151,-0.1577,33.8996,-0.1628,1027.2259,10.62,130.5,94.96,0.181
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,100,38.05116279,,,101,0.0727,33.8632,0.0691,1027.185,10.76,132.9,94.44,0.247
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,60,30.42857143,,,61,0.1803,33.8537,0.1781,1027.1717,10.83,134.2,93.91,0.252
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,20,28.575,,,20,0.2214,33.8525,0.2207,1027.1684,10.81,134.1,93.8,0.16
Antarctica 2013,593-1,B,2013-10-10 07:45,0.016944444,-52.50527778,2548.8,10,28.33902439,,,10,0.2311,33.8523,0.2307,1027.1677,10.83,134.4,93.85,0.122
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,1000,133.6285714,,,1012,1.7627,34.7204,1.7034,1027.7707,5.98,77.6,96.14,0.067
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,900,139.005,,,910,1.8431,34.7145,1.79,1027.7594,5.89,76.6,96.14,0.069
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,700,125.0162791,,,707,1.9585,34.6921,1.9178,1027.7315,5.7,74.4,96.12,0.069
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,500,129.0428571,,,505,2.0433,34.6154,2.0148,1027.6624,5.43,71,96.02,0.063
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,400,158.0142857,,,404,2.0533,34.5499,2.0308,1027.6087,5.43,71,95.94,0.067
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,300,138.285,,,303,1.9456,34.4451,1.9293,1027.5326,5.79,75.5,95.89,0.062
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,200,128.9195122,,,202,1.7085,34.3025,1.6983,1027.4359,6.69,86.6,95.88,0.068
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,150,60.59347826,,,151,0.8468,33.8995,0.8404,1027.1705,10.19,128.5,95.02,0.121
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,100,44.63571429,,,101,0.7171,33.8279,0.713,1027.1207,10.62,133.5,93.86,0.239
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,80,32.2425,,,81,0.7206,33.8269,0.7173,1027.1196,10.65,133.9,93.44,0.263
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,40,27.87804878,,,40,0.7886,33.8268,0.787,1027.1153,10.69,134.5,93.03,0.136
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,10,16.76511628,,,10,0.8708,33.8272,0.8704,1027.1106,10.68,134.7,93.13,0.091
Antarctica 2013,594-1,B,2013-10-10 11:11,-0.003888889,-52.00722222,2905.8,4,18.53571429,,,7,0.8686,33.8265,0.8683,1027.1101,10.67,134.6,93.15,0.098
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,1000,123.5302326,,,1012,1.8646,34.7279,1.8045,1027.769,6,78.1,96.18,0.069
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,900,132.497561,,,910,1.9015,34.7159,1.8479,1027.756,5.88,76.6,96.16,0.069
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,700,118.9840909,,,707,1.9945,34.6776,1.9536,1027.717,5.62,73.4,96.12,0.069
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,500,147.3365854,,,505,2.0632,34.6082,2.0346,1027.6551,5.42,70.9,96.03,0.066
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,400,147.0731707,,,404,2.0813,34.5474,2.0587,1027.6044,5.43,71,95.98,0.067
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,300,147.7674419,,,303,2.0446,34.4679,2.0281,1027.5431,5.67,74.1,95.94,0.069
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,200,123.3658537,,,202,1.7066,34.264,1.6964,1027.4051,6.99,90.4,95.87,0.069
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,150,84.20232558,,,151,1.1528,33.9748,1.146,1027.2116,9.85,125.4,95.09,0.115
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,100,31.56428571,,,101,0.7742,33.8396,0.77,1027.1267,10.62,133.6,93.9,0.244
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,80,31.69285714,,,81,0.7979,33.8413,0.7946,1027.1266,10.63,133.8,93.77,0.239
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,40,26.57142857,,,40,1.0377,33.8468,1.036,1027.1158,10.68,135.4,92.91,0.16
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,10,21.51219512,,,10,1.1539,33.8454,1.1535,1027.1071,10.68,135.8,93.05,0.087
Antarctica 2013,595-1,B,2013-10-10 14:40,-0.003333333,-51.50194444,2731.9,3,20.07209302,,,3,1.1725,33.8461,1.1724,1027.1064,10.67,135.7,93.06,0.089
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,1000,131.9357143,,,1012,2.3736,34.6559,2.3095,1027.6709,5.48,72.3,96.17,0.069
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,900,119.2714286,,,910,2.3961,34.6286,2.3391,1027.6466,5.42,71.5,96.15,0.069
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,700,136.172093,,,707,2.4929,34.5428,2.4493,1027.5686,5.37,71,96.11,0.069
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,500,148.0395349,,,556,2.4958,34.4545,2.4623,1027.4969,5.57,73.5,96.08,0.069
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,400,142.7785714,,,404,2.4814,34.3287,2.4577,1027.3966,6.34,83.6,96.03,0.069
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,300,114.9697674,,,303,2.46,34.2377,2.4426,1027.3251,7.07,93.2,95.99,0.069
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,200,99.6,,,202,2.2836,34.0881,2.2725,1027.2194,8.33,109.3,95.85,0.069
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,150,94.47857143,,,151,2.3103,33.8953,2.3021,1027.0627,9.76,127.9,95.37,0.099
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,100,22.01860465,,,101,2.4692,33.8149,2.4636,1026.9852,10.26,134.9,94.16,0.235
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,80,27.96585366,,,81,2.5386,33.8189,2.5341,1026.9826,10.26,135.1,93.89,0.254
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,40,24.69767442,,,40,2.747,33.8218,2.7447,1026.967,10.35,137,92.19,0.374
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,10,16.05681818,,,10,2.7549,33.8222,2.7543,1026.9665,10.39,137.6,92.11,0.363
Antarctica 2013,599-1,B,2013-10-11 07:20,0.015,-49.50472222,4160.1,5,15.13636364,,,8,2.7608,33.8223,2.7603,1026.9661,10.39,137.6,92.13,0.366
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,1000,136.6425,,,1011,2.5646,34.6377,2.4991,1027.6403,5.51,73,96.15,0.069
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,700,137.5534884,,,707,2.6145,34.4942,2.5703,1027.5195,5.5,72.9,96.12,0.069
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,500,135.0818182,,,505,2.6225,34.3354,2.5919,1027.3906,6.29,83.3,96.1,0.069
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,400,108.9409091,,,404,2.7778,34.2665,2.7532,1027.3216,6.88,91.4,96.1,0.069
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,300,99.02093023,,,303,2.6519,34.1515,2.634,1027.24,7.85,103.9,95.99,0.069
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,200,70.4025,,,202,2.8022,34.0676,2.7902,1027.1594,8.68,115.3,95.85,0.069
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,150,60.80769231,,,151,2.999,33.9187,2.9899,1027.0228,9.66,128.7,95.31,0.099
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,100,31.42,,,101,3.0754,33.8315,3.0693,1026.9461,10.16,135.6,93.92,0.259
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,80,21.94,,,81,3.0919,33.8281,3.087,1026.9418,10.21,136.4,93.29,0.313
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,50,19.56,,,50,3.2856,33.8379,3.2825,1026.9316,10.2,137,92.97,0.313
Antarctica 2013,600-1,B,2013-10-11 11:23,0.013611111,-49.00361111,3854.2,20,15.82325581,,,20,3.3197,33.8403,3.3185,1026.9302,10.19,136.8,92.92,0.253
